Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Lucas Paquetá,Attacking Midfield,21,18/19,Brazil/Portugal,Flamengo,Série A,Brazil,AC Milan,Serie A,Italy,€38.40m,False,https://img.a.transfermarkt.technology/portrait/medium/444523-1596029407.jpg?lm=1
Radja Nainggolan,Attacking Midfield,30,18/19,Belgium/Indonesia,AS Roma,Serie A,Italy,Inter,Serie A,Italy,€38.00m,False,https://img.a.transfermarkt.technology/portrait/medium/41982-1596029669.jpg?lm=1
Felipe Anderson,Left Winger,25,18/19,Brazil,Lazio,Serie A,Italy,West Ham,Premier League,England,€38.00m,False,https://img.a.transfermarkt.technology/portrait/medium/159372-1606396538.png?lm=1
André Silva,Centre-Forward,21,17/18,Portugal,FC Porto,Liga NOS,Portugal,AC Milan,Serie A,Italy,€38.00m,False,https://img.a.transfermarkt.technology/portrait/medium/198008-1599988802.jpg?lm=1
Mateo Kovacic,Central Midfield,21,15/16,Croatia,Inter,Serie A,Italy,Real Madrid,LaLiga,Spain,€38.00m,False,https://img.a.transfermarkt.technology/portrait/medium/51471-1624351322.jpg?lm=1
Danilo,Right-Back,28,19/20,Brazil,Man City,Premier League,England,Juventus,Serie A,Italy,€37.00m,False,https://img.a.transfermarkt.technology/portrait/medium/145707-1595925040.jpg?lm=1
Mattia Caldara,Centre-Back,24,18/19,Italy,Juventus,Serie A,Italy,AC Milan,Serie A,Italy,€36.40m,False,https://img.a.transfermarkt.technology/portrait/medium/197470-1630656758.jpg?lm=1
Filippo Inzaghi,Centre-Forward,27,01/02,Italy,Juventus,Serie A,Italy,Milan,Serie A,Italy,€36.15m,False,https://img.a.transfermarkt.technology/portrait/medium/5821-1590494397.jpg?lm=1
Lilian Thuram,Centre-Back,29,01/02,France/Guadeloupe,AC Parma,Serie A,Italy,Juventus,Serie A,Italy,€36.15m,False,https://img.a.transfermarkt.technology/portrait/medium/3521-1416575493.jpg?lm=1
Gabriel Batistuta,Centre-Forward,31,00/01,Argentina/Italy,Fiorentina,Serie A,Italy,AS Roma,Serie A,Italy,€36.15m,False,https://img.a.transfermarkt.technology/portrait/medium/5959-1570439708.jpg?lm=1
Konstantinos Manolas,Centre-Back,28,19/20,Greece,AS Roma,Serie A,Italy,SSC Napoli,Serie A,Italy,€36.00m,False,https://img.a.transfermarkt.technology/portrait/medium/104752-1448465990.jpg?lm=1
Geoffrey Kondogbia,Defensive Midfield,22,15/16,Central African Republic/France,Monaco,Ligue 1,Monaco,Inter,Serie A,Italy,€36.00m,False,https://img.a.transfermarkt.technology/portrait/medium/127189-1448967404.jpg?lm=1
Rodrigo de Paul,Central Midfield,27,21/22,Argentina/Italy,Udinese Calcio,Serie A,Italy,Atlético Madrid,LaLiga,Spain,€35.00m,False,https://img.a.transfermarkt.technology/portrait/medium/255901-1623838716.jpg?lm=1
Hirving Lozano,Right Winger,24,19/20,Mexico,PSV Eindhoven,Eredivisie,Netherlands,SSC Napoli,Serie A,Italy,€35.00m,False,https://img.a.transfermarkt.technology/portrait/medium/316889-1536655850.jpg?lm=1
Dejan Kulusevski,Right Winger,19,19/20,Sweden/North Macedonia,Atalanta BC,Serie A,Italy,Juventus,Serie A,Italy,€35.00m,False,https://img.a.transfermarkt.technology/portrait/medium/431755-1624534430.jpg?lm=1
Leonardo Bonucci,Centre-Back,31,18/19,Italy,AC Milan,Serie A,Italy,Juventus,Serie A,Italy,€35.00m,False,https://img.a.transfermarkt.technology/portrait/medium/39983-1448464012.jpg?lm=1
Krzysztof Piatek,Centre-Forward,23,18/19,Poland,Genoa,Serie A,Italy,AC Milan,Serie A,Italy,€35.00m,False,https://img.a.transfermarkt.technology/portrait/medium/327757-1568185404.png?lm=1
Antonio Rüdiger,Centre-Back,24,17/18,Germany/Sierra Leone,AS Roma,Serie A,Italy,Chelsea,Premier League,England,€35.00m,False,https://img.a.transfermarkt.technology/portrait/medium/86202-1624448001.jpg?lm=1
Milan Skriniar,Centre-Back,22,17/18,Slovakia,Sampdoria,Serie A,Italy,Inter,Serie A,Italy,€34.00m,False,https://img.a.transfermarkt.technology/portrait/medium/204069-1598256813.jpg?lm=1
Carlos Bacca,Centre-Forward,28,15/16,Colombia,Sevilla FC,LaLiga,Spain,AC Milan,Serie A,Italy,€33.30m,False,https://img.a.transfermarkt.technology/portrait/medium/119235-1448983000.jpg?lm=1
Nicolò Barella,Central Midfield,23,20/21,Italy,Cagliari Calcio,Serie A,Italy,Inter,Serie A,Italy,€32.50m,False,https://img.a.transfermarkt.technology/portrait/medium/255942-1582023619.jpg?lm=1
Arkadiusz Milik,Centre-Forward,22,16/17,Poland,Ajax,Eredivisie,Netherlands,SSC Napoli,Serie A,Italy,€32.00m,False,https://img.a.transfermarkt.technology/portrait/medium/191891-1595577862.jpg?lm=1
Miralem Pjanic,Central Midfield,26,15/16,Bosnia-Herzegovina/Luxembourg,AS Roma,Serie A,Italy,Juventus,Serie A,Italy,€32.00m,False,https://img.a.transfermarkt.technology/portrait/medium/44162-1567161979.png?lm=1
Marquinhos,Centre-Back,19,13/14,Brazil/Portugal,AS Roma,Serie A,Italy,Paris SG,Ligue 1,France,€31.40m,False,https://img.a.transfermarkt.technology/portrait/medium/181767-1602508054.jpg?lm=1
Alessandro Bastoni,Centre-Back,18,17/18,Italy,Atalanta BC,Serie A,Italy,Inter,Serie A,Italy,€31.10m,False,https://img.a.transfermarkt.technology/portrait/medium/315853-1630304611.jpg?lm=1
Juan Cuadrado,Right-Back,26,14/15,Colombia,Fiorentina,Serie A,Italy,Chelsea,Premier League,England,€31.00m,False,https://img.a.transfermarkt.technology/portrait/medium/91970-1596099724.jpg?lm=1
Alessandro Nesta,Centre-Back,26,02/03,Italy,Lazio,Serie A,Italy,Milan,Serie A,Italy,€31.00m,False,https://img.a.transfermarkt.technology/portrait/medium/4171-1455621203.jpg?lm=1
