Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Federico Furlan,Right Winger,28,19/20,Italy,Sampdoria,Serie A,Italy,Ternana,Serie C-C,Italy,€190Th.,False,https://img.a.transfermarkt.technology/portrait/medium/88688-1485330712.jpg?lm=1
Fabio Maistro,Central Midfield,21,19/20,Italy,Rieti,Serie C-C,Italy,Lazio,Serie A,Italy,€180Th.,False,https://img.a.transfermarkt.technology/portrait/medium/398031-1600086652.jpg?lm=1
Francesco Deli,Central Midfield,22,17/18,Italy,Paganese,Serie C-C,Italy,Foggia,Serie B,Italy,€150Th.,False,https://img.a.transfermarkt.technology/portrait/medium/288896-1608312478.jpg?lm=1
Marco Imperiale,Left-Back,18,17/18,Italy,Catanzaro,Serie C-C,Italy,Empoli,Serie B,Italy,€150Th.,False,https://img.a.transfermarkt.technology/portrait/medium/475149-1569230062.png?lm=1
Francesco Deli,Central Midfield,22,16/17,Italy,Paganese,Lega Pro C,Italy,Foggia,Lega Pro C,Italy,€150Th.,True,https://img.a.transfermarkt.technology/portrait/medium/288896-1608312478.jpg?lm=1
Cedric Gondo,Centre-Forward,22,19/20,Cote d'Ivoire/Italy,Rieti,Serie C-C,Italy,Lazio,Serie A,Italy,€130Th.,False,https://img.a.transfermarkt.technology/portrait/medium/213854-1625056308.jpg?lm=1
Giuseppe Agostinone,Left-Back,28,16/17,Italy,Piacenza,Lega Pro A,Italy,Lecce,Lega Pro C,Italy,€125Th.,False,https://img.a.transfermarkt.technology/portrait/medium/102768-1536479398.jpg?lm=1
Andrea Saraniti,Centre-Forward,29,17/18,Italy,V. Francavilla,Serie C-C,Italy,Lecce,Serie C-C,Italy,€110Th.,False,https://img.a.transfermarkt.technology/portrait/medium/429304-1583745459.jpg?lm=1
Vincenzo Sarno,Right Winger,32,20/21,Italy,Catania,Serie C - C,Italy,Triestina,Serie C - B,Italy,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/75186-1542314090.jpg?lm=1
Mirko Miceli,Centre-Back,29,20/21,Italy,Sambenedettese,Serie C - B,Italy,Avellino,Serie C - C,Italy,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/146618-1613238067.jpg?lm=1
Davide Bertoncini,Centre-Back,28,19/20,Italy,Piacenza,Serie C-B,Italy,Reggina,Serie C-C,Italy,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/91914-1449138536.jpg?lm=1
Manuel Sarao,Centre-Forward,30,19/20,Italy,Cesena,Serie C-B,Italy,Reggina,Serie C-C,Italy,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/278580-1568801797.jpg?lm=1
Nicola Bellomo,Attacking Midfield,27,18/19,Italy,Salernitana,Serie B,Italy,Reggina,Serie C-C,Italy,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/107958-1608098112.jpg?lm=1
Fran Brodic,Centre-Forward,21,18/19,Croatia,Club Brugge,Jupiler Pro League,Belgium,Catania,Serie C-C,Italy,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/226060-1486476253.jpg?lm=1
