Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Romelu Lukaku,Centre-Forward,26,19/20,Belgium/DR Congo,Man Utd,Premier League,England,Inter,Serie A,Italy,€74.00m,False,https://img.a.transfermarkt.technology/portrait/medium/96341-1596033546.jpg?lm=1
Rúben Dias,Centre-Back,23,20/21,Portugal,Benfica,Liga NOS,Portugal,Man City,Premier League,England,€68.00m,False,https://img.a.transfermarkt.technology/portrait/medium/258004-1572340728.jpg?lm=1
Riyad Mahrez,Right Winger,27,18/19,Algeria/France,Leicester,Premier League,England,Man City,Premier League,England,€67.80m,False,https://img.a.transfermarkt.technology/portrait/medium/171424-1461578220.jpg?lm=1
Álvaro Morata,Centre-Forward,24,17/18,Spain,Real Madrid,LaLiga,Spain,Chelsea,Premier League,England,€66.00m,False,https://img.a.transfermarkt.technology/portrait/medium/128223-1523366908.jpg?lm=1
João Cancelo,Right-Back,25,19/20,Portugal,Juventus,Serie A,Italy,Man City,Premier League,England,€65.00m,False,https://img.a.transfermarkt.technology/portrait/medium/182712-1615221629.jpg?lm=1
Aymeric Laporte,Centre-Back,23,17/18,Spain/France,Athletic,LaLiga,Spain,Man City,Premier League,England,€65.00m,False,https://img.a.transfermarkt.technology/portrait/medium/176553-1564994239.jpg?lm=1
Christian Pulisic,Right Winger,20,18/19,United States/Croatia,Bor. Dortmund,Bundesliga,Germany,Chelsea,Premier League,England,€64.00m,False,https://img.a.transfermarkt.technology/portrait/medium/315779-1534236289.jpg?lm=1
Pierre-Emerick Aubameyang,Centre-Forward,28,17/18,Gabon/France,Bor. Dortmund,Bundesliga,Germany,Arsenal,Premier League,England,€63.75m,False,https://img.a.transfermarkt.technology/portrait/medium/58864-1545407105.jpg?lm=1
Raheem Sterling,Left Winger,20,15/16,England/Jamaica,Liverpool,Premier League,England,Man City,Premier League,England,€63.70m,False,https://img.a.transfermarkt.technology/portrait/medium/134425-1577051521.jpg?lm=1
Bruno Fernandes,Attacking Midfield,25,19/20,Portugal,Sporting CP,Liga NOS,Portugal,Man Utd,Premier League,England,€63.00m,False,https://img.a.transfermarkt.technology/portrait/medium/240306-1580389882.jpg?lm=1
Ángel Di María,Right Winger,27,15/16,Argentina/Italy,Man Utd,Premier League,England,Paris SG,Ligue 1,France,€63.00m,False,https://img.a.transfermarkt.technology/portrait/medium/45320-1602849270.jpg?lm=1
Rodri,Defensive Midfield,23,19/20,Spain,Atlético Madrid,LaLiga,Spain,Man City,Premier League,England,€62.70m,False,https://img.a.transfermarkt.technology/portrait/medium/357565-1556022958.jpg?lm=1
Alisson,Goalkeeper,25,18/19,Brazil,AS Roma,Serie A,Italy,Liverpool,Premier League,England,€62.50m,False,https://img.a.transfermarkt.technology/portrait/medium/105470-1595945929.jpg?lm=1
Tanguy Ndombélé,Central Midfield,22,19/20,France/DR Congo,Olympique Lyon,Ligue 1,France,Spurs,Premier League,England,€60.00m,False,https://img.a.transfermarkt.technology/portrait/medium/450936-1561540648.jpg?lm=1
Naby Keïta,Central Midfield,23,18/19,Guinea,RB Leipzig,Bundesliga,Germany,Liverpool,Premier League,England,€60.00m,False,https://img.a.transfermarkt.technology/portrait/medium/302215-1503302375.jpg?lm=1
Diego Costa,Centre-Forward,29,17/18,Spain/Brazil,Chelsea,Premier League,England,Atlético Madrid,LaLiga,Spain,€60.00m,False,https://img.a.transfermarkt.technology/portrait/medium/44779-1453805669.jpg?lm=1
Oscar,Attacking Midfield,25,16/17,Brazil/Italy,Chelsea,Premier League,England,SH SIPG,Super League,China,€60.00m,False,https://img.a.transfermarkt.technology/portrait/medium/85314-1563435929.jpg?lm=1
Anthony Martial,Centre-Forward,19,15/16,France/Guadeloupe,Monaco,Ligue 1,Monaco,Man Utd,Premier League,England,€60.00m,False,https://img.a.transfermarkt.technology/portrait/medium/182877-1595947846.jpg?lm=1
Fred,Central Midfield,25,18/19,Brazil,Shakhtar D.,Premier Liga,Ukraine,Man Utd,Premier League,England,€59.00m,False,https://img.a.transfermarkt.technology/portrait/medium/191614-1515442833.jpg?lm=1
Ben White,Centre-Back,23,21/22,England,Brighton,Premier League,England,Arsenal,Premier League,England,€58.50m,False,https://img.a.transfermarkt.technology/portrait/medium/335721-1571052198.jpg?lm=1
Fernando Torres,Centre-Forward,26,10/11,Spain,Liverpool,Premier League,England,Chelsea,Premier League,England,€58.50m,False,https://img.a.transfermarkt.technology/portrait/medium/7767-1447152963.jpg?lm=1
Benjamin Mendy,Left-Back,23,17/18,France/Senegal,Monaco,Ligue 1,Monaco,Man City,Premier League,England,€57.50m,False,https://img.a.transfermarkt.technology/portrait/medium/157495-1598301159.jpg?lm=1
Jorginho,Defensive Midfield,26,18/19,Italy/Brazil,SSC Napoli,Serie A,Italy,Chelsea,Premier League,England,€57.00m,False,https://img.a.transfermarkt.technology/portrait/medium/102017-1599988179.jpg?lm=1
John Stones,Centre-Back,22,16/17,England,Everton,Premier League,England,Man City,Premier League,England,€55.60m,False,https://img.a.transfermarkt.technology/portrait/medium/186590-1583400326.jpg?lm=1
Aaron Wan-Bissaka,Right-Back,21,19/20,England/DR Congo,Crystal Palace,Premier League,England,Man Utd,Premier League,England,€55.00m,False,https://img.a.transfermarkt.technology/portrait/medium/477758-1617030255.jpg?lm=1
Timo Werner,Centre-Forward,24,20/21,Germany,RB Leipzig,Bundesliga,Germany,Chelsea,Premier League,England,€53.00m,False,https://img.a.transfermarkt.technology/portrait/medium/170527-1471002206.jpg?lm=1
Alexandre Lacazette,Centre-Forward,26,17/18,France/Guadeloupe,Olympique Lyon,Ligue 1,France,Arsenal,Premier League,England,€53.00m,False,https://img.a.transfermarkt.technology/portrait/medium/93720-1594110895.jpg?lm=1
Kyle Walker,Right-Back,27,17/18,England,Spurs,Premier League,England,Man City,Premier League,England,€52.70m,False,https://img.a.transfermarkt.technology/portrait/medium/95424-1583400627.jpg?lm=1
Leroy Sané,Right Winger,20,16/17,Germany/France,FC Schalke 04,Bundesliga,Germany,Man City,Premier League,England,€52.00m,False,https://img.a.transfermarkt.technology/portrait/medium/192565-1624802554.jpg?lm=1
Ben Chilwell,Left-Back,23,20/21,England,Leicester,Premier League,England,Chelsea,Premier League,England,€50.20m,False,https://img.a.transfermarkt.technology/portrait/medium/316125-1620647738.jpg?lm=1
Thomas Partey,Defensive Midfield,27,20/21,Ghana,Atlético Madrid,LaLiga,Spain,Arsenal,Premier League,England,€50.00m,False,https://img.a.transfermarkt.technology/portrait/medium/230784-1447152950.jpg?lm=1
