Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Lucas Tousart,Defensive Midfield,22,19/20,France,Olympique Lyon,Ligue 1,France,Hertha BSC,Bundesliga,Germany,€25.00m,False,https://img.a.transfermarkt.technology/portrait/medium/353948-1580122019.jpg?lm=1
Bernd Leno,Goalkeeper,26,18/19,Germany,Bay. Leverkusen,Bundesliga,Germany,Arsenal,Premier League,England,€25.00m,False,https://img.a.transfermarkt.technology/portrait/medium/72476-1472560230.jpg?lm=1
Jannik Vestergaard,Centre-Back,25,18/19,Denmark/Germany,Bor. M'gladbach,Bundesliga,Germany,Southampton,Premier League,England,€25.00m,False,https://img.a.transfermarkt.technology/portrait/medium/99331-1624804320.jpg?lm=1
Andriy Yarmolenko,Right Winger,27,17/18,Ukraine,Dynamo Kyiv,Premier Liga,Ukraine,Bor. Dortmund,Bundesliga,Germany,€25.00m,False,https://img.a.transfermarkt.technology/portrait/medium/69015-1503932828.jpg?lm=1
Toni Kroos,Central Midfield,24,14/15,Germany,FC Bayern ,Bundesliga,Germany,Real Madrid,LaLiga,Spain,€25.00m,False,https://img.a.transfermarkt.technology/portrait/medium/31909-1519743952.jpg?lm=1
Thiago,Central Midfield,22,13/14,Spain/Brazil,Barcelona,LaLiga,Spain,FC Bayern ,Bundesliga,Germany,€25.00m,False,https://img.a.transfermarkt.technology/portrait/medium/60444-1540568423.jpg?lm=1
Arjen Robben,Right Winger,25,09/10,Netherlands,Real Madrid,LaLiga,Spain,FC Bayern ,Bundesliga,Germany,€25.00m,False,https://img.a.transfermarkt.technology/portrait/medium/4360-1540568808.jpg?lm=1
Owen Hargreaves,Defensive Midfield,26,07/08,England/Canada,FC Bayern ,Bundesliga,Germany,Man Utd,Premier League,England,€25.00m,False,https://img.a.transfermarkt.technology/portrait/medium/201-1592225585.jpg?lm=1
Krzysztof Piatek,Centre-Forward,24,19/20,Poland,AC Milan,Serie A,Italy,Hertha BSC,Bundesliga,Germany,€24.00m,False,https://img.a.transfermarkt.technology/portrait/medium/327757-1568185404.png?lm=1
Lucas Alario,Centre-Forward,24,17/18,Argentina/Italy,River Plate,Liga Profesional,Argentina,Bay. Leverkusen,Bundesliga,Germany,€24.00m,False,https://img.a.transfermarkt.technology/portrait/medium/193782-1615897046.jpg?lm=1
Nicolás González,Left Winger,23,21/22,Argentina,VfB Stuttgart,Bundesliga,Germany,Fiorentina,Serie A,Italy,€23.50m,False,https://img.a.transfermarkt.technology/portrait/medium/486031-1599992703.jpg?lm=1
Hakan Calhanoglu,Attacking Midfield,23,17/18,Turkey/Germany,Bay. Leverkusen,Bundesliga,Germany,AC Milan,Serie A,Italy,€23.30m,False,https://img.a.transfermarkt.technology/portrait/medium/126414-1596107830.jpg?lm=1
